Detalhes do processo de treinamento

Analisando: Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age,Outcome

MENORES PARA NORMALIZAR
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078000	21.000000	
MAIORES PARA NORMALIZAR
17.000000	199.000000	122.000000	99.000000	846.000000	67.099998	2.420000	81.000000	
-----------------------------------------------------------
CONJUNTO DE TESTE fold: 0
CONJUNTO DE TREINO: fold 1	fold 2	fold 3	fold 4	fold 5	fold 6	fold 7	fold 8	fold 9	
DIABETICO-> acertou
DIABETICO-> acertou
NORMAL-> errou
NORMAL-> errou
DIABETICO-> acertou
DIABETICO-> acertou
NORMAL-> errou
NORMAL-> errou
NORMAL-> errou
DIABETICO-> acertou
NORMAL-> errou
NORMAL-> errou
NORMAL-> errou
DIABETICO-> acertou
NORMAL-> errou
DIABETICO-> acertou
DIABETICO-> acertou
DIABETICO-> acertou
DIABETICO-> acertou
DIABETICO-> acertou
NORMAL-> errou
DIABETICO-> acertou
DIABETICO-> acertou
NORMAL-> errou
NORMAL-> errou
DIABETICO-> acertou
DIABETICO-> acertou
NORMAL-> acertou
DIABETICO-> errou
NORMAL-> acertou
DIABETICO-> errou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
DIABETICO-> errou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
DIABETICO-> errou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
NORMAL-> acertou
DIABETICO-> errou
NORMAL-> acertou
	+	-	
+	15	5
-	12	45
Acuracia: 0.7792207599	Rev: 0.7500000000	Prec: 0.5555555820
F1: 0.6382979155

-----------------------------------------------------------
CONJUNTO DE TESTE fold: 1
CONJUNTO DE TREINO: fold 2	fold 3	fold 4	fold 5	fold 6	fold 7	fold 8	fold 9	fold 0	
NORMAL-> errou
NORMAL-> errou
DIABETICO-> acertou
